submit_date,state,total_cases,new_cases,total_deaths,new_deaths,sum_cases_last_14_days,state_pop,new_cases_percent,cases_last_14_pop_percent
2022-01-12,NY,2293705,27587,24414,75,432741,19572319,0.14094906178465616,2.2109848097202995
2022-01-11,NY,2266118,20778,24339,83,432653,19572319,0.10616013360501635,2.2105351951396255
2022-01-10,NY,2245340,22513,24256,56,424881,19572319,0.11502469380352937,2.1708260528555661
2022-01-09,NY,2222827,37136,24200,80,410737,19572319,0.18973735304436842,2.0985607275254403
2022-01-08,NY,2185691,42541,24120,86,404935,19572319,0.21735288495962077,2.068916820740557
2022-01-07,NY,2143150,37816,24034,86,362394,19572319,0.19321164753139372,1.8515639357809361
2022-01-06,NY,2105334,38044,23948,68,341956,19572319,0.19437655803586687,1.7471409494194325
2022-01-05,NY,2067290,35182,23880,55,319939,19572319,0.17975386565076934,1.6346504468887924
2022-01-04,NY,2032108,22422,23825,48,296460,19572319,0.1145597514530598,1.5146902112110476
2022-01-03,NY,2009686,22452,23777,56,282536,19572319,0.1147130291510168,1.4435489223326066
2022-01-02,NY,1987234,26876,23721,51,268230,19572319,0.13731638034307533,1.370455897433513
2022-01-01,NY,1960358,35752,23670,59,251428,19572319,0.18266614191195227,1.2846101680643975
2021-12-31,NY,1924606,33420,23611,43,225995,19572319,0.170751355524095,1.1546664449930537
2021-12-30,NY,1891186,30222,23568,52,203316,19572319,0.15441195292187909,1.0387936145941623
2021-12-29,NY,1860964,27499,23516,70,183052,19572319,0.1404994472039823,0.9352596388808091
2021-12-28,NY,1833465,13006,23446,42,163413,19572319,0.066450991320956915,0.83491894854156012
2021-12-27,NY,1820459,8369,23404,90,155549,19572319,0.04275936847340369,0.79473975465043267
2021-12-26,NY,1812090,31334,23314,43,152349,19572319,0.16009344625948513,0.77839013353501962
2021-12-25,NY,1780756,0,23271,0,128299,19572319,0.0,0.65551251233949337
2021-12-24,NY,1780756,17378,23271,49,136171,19572319,0.088788661169889982,0.69573258028340945
2021-12-23,NY,1763378,16027,23222,56,126885,19572319,0.08188605550522654,0.64828802350912018
2021-12-22,NY,1747351,11703,23166,45,119096,19572319,0.059793629973024655,0.60849202386288515
2021-12-21,NY,1735648,8498,23121,41,114636,19572319,0.043418462574618781,0.58570473943327828
2021-12-20,NY,1727150,8146,23080,49,112189,19572319,0.041620004251923338,0.57320238853658578
2021-12-19,NY,1719004,10074,23031,39,108600,19572319,0.051470650973959711,0.55486526660433033
2021-12-18,NY,1708930,10319,22992,48,106356,19572319,0.05272241884060852,0.5434000947971469
2021-12-17,NY,1698611,10741,22944,53,103679,19572319,0.054878525125203609,0.52972261488278416
2021-12-16,NY,1687870,9958,22891,40,101791,19572319,0.050877977208525979,0.52007633842469048
2021-12-15,NY,1677912,7860,22851,55,100769,19572319,0.0401587568647333,0.51485467818095554
2021-12-14,NY,1670052,5142,22796,43,100546,19572319,0.026271797429829338,0.51371531395947512
2021-12-13,NY,1664910,5169,22753,38,100574,19572319,0.026409747357990638,0.513858373144235
2021-12-12,NY,1659741,7284,22715,49,99399,19572319,0.03721582506395895,0.50785499664091927
2021-12-11,NY,1652457,7872,22666,50,96621,19572319,0.040220067943916096,0.49366148181010128
2021-12-10,NY,1644585,8092,22616,49,91996,19572319,0.041344104395600746,0.47003117004173089
2021-12-09,NY,1636493,8238,22567,43,88841,19572319,0.042090055858991463,0.45391146547325334
2021-12-08,NY,1628255,7243,22524,33,87365,19572319,0.037006345543417717,0.44637020273376904
2021-12-07,NY,1621012,6051,22491,42,85819,19572319,0.030916111677926364,0.43847129203238516
2021-12-06,NY,1614961,4557,22449,43,83898,19572319,0.023282882319667894,0.42865641010653877
2021-12-05,NY,1610404,7830,22406,32,83435,19572319,0.040005479166776305,0.42629082430140242
