submit_date,state,total_cases,new_cases,total_deaths,new_deaths,sum_cases_last_14_days,state_pop,new_cases_percent,cases_last_14_pop_percent
2022-04-21,AK,243466,0,1215,0,2792,737068,0.0,0.003787981570221472
2022-04-21,AL,1299137,251,19541,12,2618,4876250,5.1473981030505e-05,0.0005368879774416816
2022-04-21,AR,834699,146,11366,6,1214,2999370,4.867688881331746e-05,0.00040475166451621507
2022-04-21,AZ,2019174,0,29852,0,5154,7050299,0.0,0.0007310328257000164
2022-04-21,CA,9155320,0,89054,0,50139,39283497,0.0,0.0012763374910334485
2022-04-21,CO,1373545,805,12061,31,7054,5610349,0.0001434848349006452,0.0012573192861977036
2022-04-21,CT,750660,877,10826,1,10457,3575074,0.00024530960757735364,0.0029249744201099055
2022-04-21,DC,140845,0,1333,0,3242,692683,0.0,0.004680351618272716
2022-04-21,DE,260918,183,2896,0,2079,957248,0.00019117302935080563,0.0021718509727886607
2022-04-21,FL,5899186,3631,73822,0,36483,20901636,0.00017371845916750247,0.0017454614557444212
2022-04-21,GA,2509160,0,37659,0,6493,10403847,0.0,0.0006240960675411701
2022-04-21,HI,238763,0,1395,0,2966,1422094,0.0,0.002085656784994522
2022-04-21,IA,761487,0,9510,0,2012,3139508,0.0,0.0006408647469603517
2022-04-21,ID,445350,0,4918,0,766,1717750,0.0,0.0004459321787221656
2022-04-21,IL,3110229,3587,37849,9,32105,12770631,0.00028087883832834883,0.002513971314338344
2022-04-21,IN,1695736,0,23535,0,3488,6665703,0.0,0.0005232756394936888
2022-04-21,KS,772222,0,8524,0,1947,2910652,0.0,0.0006689222895763561
2022-04-21,KY,1324542,439,15361,20,5243,4449052,9.867270600568391e-05,0.0011784532974665164
2022-04-21,LA,1171437,175,17220,7,2199,4664362,3.751852879343413e-05,0.000471447113238638
2022-04-21,MA,1735758,2602,20219,11,27622,6850553,0.0003798233514870989,0.004032083249337681
2022-04-21,MD,1024920,1015,14422,4,9562,6018848,0.00016863692188272573,0.0015886761054607127
2022-04-21,ME,241715,467,2280,2,4235,1335492,0.00034968386182770094,0.0031711159632554892
2022-04-21,MI,2411464,0,35935,0,18199,9965265,0.0,0.0018262434566466623
2022-04-21,MN,1442396,1117,12742,3,9779,5563378,0.00020077729753398025,0.0017577450246954278
2022-04-21,MO,1417911,0,20241,0,6189,6104910,0.0,0.0010137741588328083
2022-04-21,MS,796740,95,12432,0,1127,2984418,3.183200208549875e-05,0.0003776280668458641
2022-04-21,MT,273413,42,3262,0,587,1050649,3.9975291462705434e-05,0.0005587022878240022
2022-04-21,NC,2647650,0,23363,0,10719,10264876,0.0,0.0010442405733883196
2022-04-21,ND,240657,62,2260,3,595,756717,8.193287583072668e-05,0.0007862913083755221
2022-04-21,NE,479179,367,4197,2,1136,1914571,0.00019168785069866826,0.0005933444097920631
2022-04-21,NH,307103,379,2472,0,3631,1348124,0.00028113140927689146,0.002693372419747738
