submit_date,state,total_cases,new_cases,total_deaths,new_deaths,sum_cases_last_14_days,state_pop,new_cases_percent,cases_last_14_pop_percent
2022-01-12,GA,2069066,18939,31801,57,277045,10403847,0.18203843251443433,2.6629092104103416
2022-01-12,IL,2522953,34573,32187,159,403791,12770631,0.27072272309802076,3.1618719544868226
2022-01-12,MA,1389904,24296,20835,72,294079,6850553,0.35465749991278078,4.2927775319744264
2022-01-12,MI,1940708,17312,30412,-2,230437,9965265,0.17372342832829835,2.3124021287943672
2022-01-12,NE,376695,5041,3527,32,38438,1914571,0.26329658184522803,2.0076560232031091
2022-01-12,PA,2348276,31739,38103,204,354556,12791530,0.24812512654858332,2.77180290395285
2022-01-12,VA,1334212,18945,15787,37,233306,8454463,0.2240828305712616,2.7595602464639093
2022-01-12,AK,167008,4382,953,5,15425,737068,0.59451773784779693,2.092751279393489
2022-01-12,AL,1019142,10604,16681,1,129388,4876250,0.21746218918226096,2.6534324532171238
2022-01-12,CA,6502320,102310,76683,119,1130756,39283497,0.26044015378773433,2.8784504597439478
2022-01-12,DC,118802,1216,1240,3,26757,692683,0.17554927723071015,3.862805929985289
2022-01-12,DE,213993,3556,2377,4,39084,957248,0.37148158053085512,4.0829544694791737
2022-01-12,FL,4933518,55573,63081,2,843550,20901636,0.26587870920726014,4.0358084888666133
2022-01-12,HI,149460,3460,1099,5,46535,1422094,0.24330318530279993,3.2722872046432934
2022-01-12,IA,631301,4965,8201,0,55800,3139508,0.15814579864106096,1.7773485527031625
2022-01-12,ME,158087,1554,1626,3,12458,1335492,0.11636161055251547,0.932839732473126
2022-01-12,MT,208132,1837,2933,6,11071,1050649,0.17484431051664256,1.0537296471038378
2022-01-12,ND,189426,2678,2043,2,16047,756717,0.35389716366884844,2.1206078362188241
2022-01-12,NH,229373,3241,2032,0,32717,1348124,0.24040815236580612,2.426853909581018
2022-01-12,NJ,1915417,23275,29737,103,420063,8878503,0.26215004939458825,4.7312367862014577
2022-01-12,NM,388215,6920,6073,28,40384,2092454,0.33071216858291747,1.9299826901810029
2022-01-12,NV,558529,6270,8584,23,60565,2972382,0.21094193142065856,2.0375913997595196
2022-01-12,NY,2293705,27587,24414,75,432741,19572319,0.14094906178465616,2.2109848097202995
2022-01-12,OH,2246974,20093,30435,0,271251,11655397,0.17239224026431704,2.327256634844785
2022-01-12,OK,785760,10591,11740,0,80796,3932870,0.26929443383585017,2.0543775919366776
2022-01-12,OR,494945,8743,5845,31,76612,4129803,0.21170501353212248,1.8551005943867056
2022-01-12,RI,290634,5727,3151,7,62304,1057231,0.5416980773359843,5.8931302619768058
2022-01-12,SD,197912,2708,2534,6,19517,870638,0.31103627454809,2.2416894277529811
2022-01-12,TX,5223323,75817,75533,136,677886,28260856,0.26827566723385871,2.3986746898253894
2022-01-12,WA,1009187,17349,10103,77,166991,7404107,0.23431590062110122,2.2553833973496062
2022-01-12,WY,123743,989,1588,0,8501,581024,0.17021672082392464,1.4631065153935121
2022-01-12,CT,619185,7318,9442,7,116701,3575074,0.20469506365462645,3.2642960677177593
2022-01-12,KY,952956,10970,12455,21,96041,4449052,0.24656938152217595,2.1586845916838016
2022-01-12,VT,75482,7469,465,8,17180,624313,1.1963550334527713,2.7518248058265646
2022-01-12,IN,1393574,15012,20035,127,158655,6665703,0.22521255447474933,2.3801690534366742
2022-01-12,KS,601859,22240,7141,27,82315,2910652,0.76408997021973091,2.8280605170250515
2022-01-12,MD,871936,10587,12480,65,171383,6018848,0.17589744748496722,2.8474385796085895
2022-01-12,SC,1114332,11729,14849,45,153838,5020806,0.23360791076173826,3.0640100414156612
2022-01-12,AR,640799,10974,9372,14,83248,2999370,0.36587683413516836,2.7755161917335975
2022-01-12,CO,1075115,12547,10552,24,164987,5610349,0.22364027621098082,2.9407617957456837
2022-01-12,MN,1115198,10704,11027,49,99763,5563378,0.19240109156702997,1.7932090898730952
2022-01-12,UT,726216,10220,3936,14,92787,3096848,0.33001296802426211,2.99617546615139
2022-01-12,ID,334086,2821,4260,17,15628,1717750,0.16422645903070879,0.90979478969582306
2022-01-12,WV,367217,4440,5481,29,41703,1817305,0.2443178222697896,2.2947716536299629
2022-01-12,LA,967533,17592,15116,14,151305,4664362,0.37715769059091037,3.2438519994803148
2022-01-12,NC,1930710,25445,19763,57,271439,10264876,0.24788414394874328,2.6443475790647644
2022-01-12,WI,1252891,18610,11559,32,149137,5790716,0.32137649299326715,2.5754500825113857
2022-01-12,TN,1580605,17281,21235,46,181212,6709356,0.25756570377246341,2.700885152017571
2022-01-12,PR,385123,11452,3446,25,127609,3318447,0.3451011873927774,3.8454433655261031
2022-01-12,AZ,1524363,18783,24992,6,156283,7050299,0.26641423292827726,2.2166861291982083
2022-01-12,MO,1135862,13135,16576,12,137092,6104910,0.21515468696508222,2.2456023102715683
2022-01-12,MS,616972,8204,10589,26,78120,2984418,0.27489446853624394,2.6175957925464863
2022-01-11,AZ,1505580,14160,24986,213,140911,7050299,0.20084254582677982,1.9986528230930347
2022-01-11,CT,611867,6751,9435,58,116903,3575074,0.18883525208149537,3.2699463004122431
2022-01-11,GA,2050127,24865,31744,50,277230,10403847,0.23899813213323881,2.6646873988054613
2022-01-11,IA,626336,7275,8201,182,53304,3139508,0.23172420646801983,1.6978456497005263
2022-01-11,IL,2488380,28110,32028,112,390316,12770631,0.22011441721243061,3.0563564165310235
2022-01-11,MI,1923396,18447,30132,118,230152,9965265,0.18511298997066311,2.3095421948136852
2022-01-11,MO,1122727,13574,16564,222,131066,6104910,0.22234562016475262,2.1468948764191444
2022-01-11,OK,775169,5507,11740,90,74371,3932870,0.14002496904296355,1.8910108902658873
2022-01-11,PA,2316537,22245,37899,213,340337,12791530,0.17390413812890249,2.6606434101315477
2022-01-11,PR,373671,11528,3421,48,130488,3318447,0.3473914153216851,3.9322008156224886
2022-01-11,TN,1563324,13462,21189,58,175394,6709356,0.20064518859932309,2.6141704211253658
2022-01-11,AK,162626,0,948,0,11983,737068,0.0,1.6257658723482771
2022-01-11,AL,1008538,12097,16680,0,127259,4876250,0.24807997949243782,2.6097718533709306
2022-01-11,CA,6400010,143380,76564,14,1049194,39283497,0.36498787264280469,2.6708263778043997
2022-01-11,DC,117586,1308,1237,4,26953,692683,0.18883096596855992,3.8911017016441867
2022-01-11,HI,146000,2911,1094,0,44629,1422094,0.20469814231689323,3.1382594962077048
2022-01-11,KS,579619,0,7114,0,67158,2910652,0.0,2.3073180854324047
2022-01-11,KY,941986,9434,12434,9,90513,4449052,0.21204517276938997,2.0344334028912225
2022-01-11,ME,156533,1379,1623,0,11995,1335492,0.10325782558038535,0.89817086137543323
2022-01-11,MN,1104494,29466,10978,28,94269,5563378,0.52964224253681846,1.6944561379794794
2022-01-11,MT,206295,1507,2927,6,9842,1050649,0.1434351529388026,0.93675432994273067
2022-01-11,NC,1905265,8408,19706,0,260626,10264876,0.081910390344705569,2.5390077775902991
2022-01-11,ND,186748,2135,2041,7,14141,756717,0.28213982241709912,1.8687303179392032
2022-01-11,NH,226132,2533,2032,5,31128,1348124,0.18789072815260316,2.3089864137126854
2022-01-11,NJ,1892142,25405,29634,140,423261,8878503,0.28614058023069877,4.767256371935674
2022-01-11,NM,381295,2932,6045,25,34834,2092454,0.1401225546654789,1.664743884453374
2022-01-11,NV,552259,5417,8561,33,57076,2972382,0.1822444086930953,1.9202107939019952
2022-01-11,NY,2266118,20778,24339,83,432653,19572319,0.10616013360501635,2.2105351951396255
2022-01-11,OH,2226881,19611,30435,363,271478,11655397,0.16825681699216252,2.32920423045221
2022-01-11,OR,486202,7999,5814,35,70182,4129803,0.19368962635748,1.6994030950144596
2022-01-11,RI,284907,5076,3144,8,60126,1057231,0.48012213035750934,5.6871204117170233
2022-01-11,SC,1102603,8149,14804,10,145743,5020806,0.16230461802348067,2.9027809479195175
2022-01-11,SD,195204,4110,2528,0,17753,870638,0.47206761018930948,2.0390793877593216
2022-01-11,TX,5147506,56659,75397,110,616355,28260856,0.20048578854087082,2.1809495083942254
2022-01-11,UT,715996,9813,3922,6,85870,3096848,0.31687057291801213,2.7728193311392748
2022-01-11,VT,68013,0,457,0,10576,624313,0.0,1.694022069058309
2022-01-11,WA,991838,13158,10026,-2,154460,7404107,0.17771218055060523,2.0861394898804138
2022-01-11,WV,362777,2508,5452,7,39239,1817305,0.13800655366050277,2.1591862675775393
2022-01-11,WY,122754,1235,1588,16,7837,581024,0.21255576361733766,1.348825521837308
2022-01-11,DE,210437,2097,2373,8,36613,957248,0.21906548773149695,3.8248186467874574
2022-01-11,FL,4877945,71746,63079,20,845870,20901636,0.343255427469888,4.0469080984856882
2022-01-11,NE,371654,3776,3495,9,35228,1914571,0.19722433902947448,1.8399944426192603
2022-01-11,VA,1315267,19836,15750,34,227861,8454463,0.23462164303043256,2.6951563925467532
2022-01-11,ID,331265,2319,4243,5,13530,1717750,0.1350021830883423,0.78765827390481735
2022-01-11,IN,1378562,11808,19908,112,151557,6665703,0.17714560639740473,2.2736836609731936
2022-01-11,MD,861349,11033,12415,87,175112,6018848,0.18330750336276977,2.9093939571160461
2022-01-11,LA,949941,12494,15102,29,143091,4664362,0.26786085642580915,3.06775074490359
2022-01-11,MA,1365608,20965,20763,120,285948,6850553,0.30603368808328318,4.1740863839751334
2022-01-11,WI,1234281,14811,11527,52,138390,5790716,0.25577147972720471,2.3898599067887285
2022-01-11,MS,608768,5737,10563,20,73510,2984418,0.19223178522579612,2.4631268140052764
2022-01-11,AR,629825,8056,9358,25,76017,2999370,0.26858973717814072,2.5344322307684615
2022-01-11,CO,1062568,22058,10528,62,159785,5610349,0.39316627183086111,2.8480402912546081
2022-01-10,AR,621769,4447,9333,10,70375,2999370,0.14826446887179642,2.3463260618063129
2022-01-10,GA,2025262,46474,31694,48,265383,10403847,0.44670014851237239,2.5508160587136661
2022-01-10,IL,2460270,77833,31916,256,383010,12770631,0.60946870988598767,2.9991470272690517
2022-01-10,IN,1366754,37331,19796,182,145457,6665703,0.56004595464274354,2.182170432736052
2022-01-10,MA,1344643,64715,20643,75,275333,6850553,0.94466826254756364,4.0191353895079711
2022-01-10,NJ,1866737,23060,29494,38,413090,8878503,0.25972846999094329,4.6526987714032426
2022-01-10,PA,2294292,29060,37686,21,329298,12791530,0.22718158031134664,2.5743441167710195
2022-01-10,AK,162626,3190,948,0,11983,737068,0.43279588857473122,1.6257658723482771
2022-01-10,AL,996441,10597,16680,0,121537,4876250,0.21731863624711611,2.4924275826711098
2022-01-10,AZ,1491420,13937,24773,0,128727,7050299,0.19767955940592025,1.8258374573901048
2022-01-10,CA,6256630,308820,76550,209,955245,39283497,0.78613164199714713,2.4316699707258751
2022-01-10,DC,116278,6238,1233,6,27513,692683,0.90055624289898839,3.9719467635267507
2022-01-10,DE,208340,2700,2365,0,35082,957248,0.2820585678946313,3.6648809921775758
2022-01-10,HI,143089,3827,1094,0,42530,1422094,0.26911019946642067,2.9906602517133183
2022-01-10,IA,619061,11061,8019,0,48591,3139508,0.35231635020519136,1.5477265864587701
2022-01-10,ID,328946,1495,4238,1,12230,1717750,0.087032455246688983,0.71197787803813128
2022-01-10,MD,850316,9693,12328,70,174952,6018848,0.16104410677923747,2.9067356411060721
2022-01-10,MO,1109153,8042,16342,0,122274,6104910,0.1317300336941904,2.00287964933144
2022-01-10,MT,204788,1925,2921,4,8744,1050649,0.18322008587073324,0.83224749654737218
2022-01-10,NC,1896857,16277,19706,1,258616,10264876,0.15856986484785593,2.5194264402219764
2022-01-10,ND,184613,2075,2034,5,12647,756717,0.27421083443348043,1.6712985171470973
2022-01-10,NH,223599,9027,2027,8,29129,1348124,0.66959715871833747,2.1607062851785144
2022-01-10,NM,378363,9250,6020,37,32700,2092454,0.44206467621271484,1.5627583688817053
2022-01-10,NV,546842,17950,8528,18,53464,2972382,0.60389277017556964,1.7986920927390893
2022-01-10,NY,2245340,22513,24256,56,424881,19572319,0.11502469380352937,2.1708260528555661
2022-01-10,OH,2207270,18042,30072,0,267270,11655397,0.15479524206682965,2.2931007841260147
2022-01-10,OK,769662,22512,11650,0,69629,3932870,0.57240641058565367,1.7704373650794458
2022-01-10,OR,478203,18503,5779,18,64063,4129803,0.44803589904893765,1.5512362211950546
