submit_date,state,total_cases,new_cases,total_deaths,new_deaths,sum_cases_last_14_days,state_pop,new_cases_percent,cases_last_14_pop_percent
2022-01-18,TX,5644397,53953,76123,123,799134,28260856,0.0019091070702175477,0.028277062803759377
2022-01-18,HI,176439,6180,1115,0,56609,1422094,0.0043457042924026123,0.039806791956087294
2022-01-18,IA,664910,7764,8317,116,72882,3139508,0.002472998953976228,0.023214465451274532
2022-01-18,MD,913464,4040,12866,80,137234,6018848,0.00067122479251843542,0.02280070870704826
2022-01-18,NJ,2014702,11122,30170,50,340249,8878503,0.0012526886570855471,0.038322789326083462
2022-01-18,TN,1675931,10858,21727,12,213441,6709356,0.001618337139957993,0.031812442207568056
2022-01-18,WA,1105622,64166,10230,34,217286,7404107,0.0086662713005092977,0.029346685562485795
2022-01-18,OR,541415,28024,5892,9,105962,4129803,0.0067857958357819973,0.025657882470422923
2022-01-18,UT,790216,39882,3979,28,133809,3096848,0.01287825556824229,0.043208126456319461
2022-01-18,CO,1146740,13065,10662,3,183963,5610349,0.002328732134132832,0.032789938736431545
2022-01-18,IL,2682983,20483,32851,319,419817,12770631,0.0016039144815945274,0.032873630128378149
2022-01-18,VA,1419897,12482,15837,15,233002,8454463,0.001476379990071516,0.027559645124711055
2022-01-18,CT,657680,4264,9564,10,113212,3575074,0.0011927025846178289,0.031667036822174872
2022-01-18,OH,2418792,15147,31245,323,325718,11655397,0.001299569632849057,0.027945680443145781
2022-01-18,AL,1088373,17106,16756,22,153186,4876250,0.0035080235836964881,0.031414714175852343
2022-01-18,KY,1014703,6737,12614,0,123555,4449052,0.0015142551716635364,0.02777108471647443
2022-01-18,MA,1487277,60994,20999,60,294728,6850553,0.0089035147965427028,0.043022512197190506
2022-01-18,MO,1205772,24256,16617,3,163551,6104910,0.0039731953460411373,0.026790075529368983
2022-01-18,CA,7185586,76374,77306,36,1470973,39283497,0.0019441751837928278,0.03744506249023604
2022-01-18,GA,2160539,12071,32030,33,255621,10403847,0.0011602438982426405,0.024569853824263275
2022-01-18,AR,687989,3213,9452,15,106855,2999370,0.0010712249572410206,0.035625814754431766
2022-01-18,IN,1474289,11833,20385,77,187699,6665703,0.001775206606114914,0.028158920371939764
2022-01-18,KS,621273,0,7162,0,86874,2910652,0.0,0.029846920896074144
2022-01-18,LA,1025748,29125,15195,58,156602,4664362,0.0062441551491929656,0.033574152263482121
2022-01-18,MN,1148888,10642,11140,29,103718,5563378,0.0019128666073022541,0.018642989924466755
2022-01-18,MS,657084,22456,10642,17,90982,2984418,0.0075244151455995771,0.030485675934135231
2022-01-18,NY,4570794,23143,62039,252,784226,19572319,0.0011824352546062631,0.040068118652674727
2022-01-18,NC,2130403,31902,20000,97,363083,10264876,0.0031078797249961907,0.035371396595536078
2022-01-18,MI,2063409,79353,30869,160,271114,9965265,0.0079629593392649359,0.027205899692582185
2022-01-18,PA,2487925,13459,38655,36,368461,12791530,0.0010521806226463917,0.028805076484204783
2022-01-18,ME,162941,1548,1688,30,13398,1335492,0.0011591233792489959,0.010032257774662821
2022-01-18,AZ,1645694,23836,25395,183,233881,7050299,0.0033808495214174604,0.03317320300883693
2022-01-18,ID,344412,3555,4282,8,21888,1717750,0.0020695677485082229,0.012742250036384805
2022-01-18,NE,402489,5499,3548,5,52966,1914571,0.0028721838991607,0.027664683106554941
2022-01-18,NV,596497,23728,8654,27,79251,2972382,0.0079828232037470279,0.026662454556648507
2022-01-18,OK,852997,10001,11740,0,128122,3932870,0.0025429266667853249,0.032577227317455194
2022-01-18,FL,5196718,43179,63458,3,778833,20901636,0.0020658191540604766,0.037261820079538273
2022-01-18,NM,420192,21253,6177,32,61076,2092454,0.01015697358221495,0.029188694231748941
2022-01-18,SC,1225988,13031,15016,3,211901,5020806,0.0025954000214308223,0.042204578308741664
2022-01-18,WI,1400338,19539,11755,43,258048,5790716,0.0033741941411044854,0.044562364999423218
2022-01-18,PR,423221,4305,3563,21,110473,3318447,0.0012972935834141693,0.033290572367134383
2022-01-18,WV,392737,1949,5561,26,53058,1817305,0.0010724671973059007,0.029195979761239856
2022-01-18,RI,317344,3644,3200,12,68121,1057231,0.0034467396434648624,0.06443341143042533
2022-01-18,WY,130553,4085,1601,13,13164,581024,0.0070306906427273228,0.022656551192377597
2022-01-18,NH,250581,14683,2085,6,45684,1348124,0.01089143135201213,0.03388709050502773
2022-01-18,VT,85117,7742,474,9,21716,624313,0.012400830993427977,0.034783834390762325
2022-01-18,DC,125707,3836,1260,5,20214,692683,0.0055378867389556264,0.0291821800159669
2022-01-18,AK,172329,0,955,0,17960,737068,0.0,0.024366815544834396
2022-01-18,ND,199213,2914,2047,0,21401,756717,0.003850845164044154,0.02828137863957067
2022-01-18,SD,205402,2265,2560,1,22372,870638,0.0026015404795104282,0.025696098723005427
2022-01-18,DE,230876,1117,2424,0,39227,957248,0.0011668867419937154,0.040978931269639633
2022-01-18,MT,215988,3910,2957,12,16533,1050649,0.0037215092766471011,0.015735987946497831
2022-01-17,TX,5590444,68268,76000,4,798734,28260856,0.0024156380825832028,0.028262908950811683
2022-01-17,HI,170259,4637,1115,0,51929,1422094,0.0032606845960956167,0.036515870258928031
2022-01-17,IA,657146,11736,8201,0,69760,3139508,0.003738165343104716,0.022220042121249572
2022-01-17,MD,909424,3215,12786,68,143480,6018848,0.00053415537325415092,0.02383844881944186
2022-01-17,NJ,2003580,9078,30120,31,358741,8878503,0.0010224696663390213,0.040405572876418466
2022-01-17,TN,1665073,11677,21715,20,211787,6709356,0.001740405487501334,0.031565920782859039
2022-01-17,WA,1041456,0,10196,0,159312,7404107,0.0,0.021516706876332285
2022-01-17,OR,513391,0,5883,0,82460,4129803,0.0,0.019967054118562071
2022-01-17,UT,750334,0,3951,0,98588,3096848,0.0,0.031834949600367861
