submit_date,state,total_cases,new_cases,total_deaths,new_deaths,sum_cases_last_14_days,state_pop,new_cases_percent,cases_last_14_pop_percent
2022-07-25,AK,269068,0,1275,0,4831,737068,0.0,0.006554347767098829
2022-07-25,AL,1416310,2884,19889,1,33870,4876250,0.0005914380927967188,0.0069459113047936425
2022-07-25,AR,896275,1300,11673,0,18217,2999370,0.00043342435244734726,0.006073608791179481
2022-07-25,AZ,2179180,0,30698,0,33415,7050299,0.0,0.004739515302826164
2022-07-25,CA,10564928,0,92469,0,298702,39283497,0.0,0.007603752792171226
2022-07-25,CO,1588509,2339,12947,9,22143,5610349,0.0004169081103510673,0.003946813290937872
2022-07-25,CT,849007,458,11093,0,10848,3575074,0.00012810923634028274,0.0030343427856318497
2022-07-25,DC,161415,0,1363,0,2360,692683,0.0,0.0034070418936223354
2022-07-25,DE,292612,993,3021,0,4520,957248,0.0010373487330346996,0.004721869358828642
2022-07-25,FL,6754722,11466,77286,0,152361,20901636,0.0005485694995358258,0.007289429401602822
2022-07-25,GA,2721391,0,38933,0,53834,10403847,0.0,0.005174432111506445
2022-07-25,HI,313805,0,1536,0,8457,1422094,0.0,0.005946864271982021
2022-07-25,IA,814855,1707,9759,0,10894,3139508,0.0005437157669290857,0.0034699704539692205
2022-07-25,ID,476226,882,5017,0,7253,1717750,0.0005134623781109009,0.004222383932469801
2022-07-25,IL,3542799,14517,38822,10,67909,12770631,0.0011367488419327127,0.0053175915896403235
2022-07-25,IN,1816673,3515,24063,2,26129,6665703,0.0005273262250058246,0.003919916623947992
2022-07-25,KS,827301,0,8966,0,14972,2910652,0.0,0.005143864673619519
2022-07-25,KY,1453461,5844,16361,22,30535,4449052,0.0013135382548911544,0.006863259858504688
2022-07-25,LA,1277344,3313,17522,6,27886,4664362,0.0007102793479579844,0.005978523965335452
2022-07-25,MA,1955844,0,21127,0,19397,6850553,0.0,0.002831450249344834
2022-07-25,MD,1173854,4073,14942,23,22431,6018848,0.0006767075692890068,0.003726792901232927
2022-07-25,ME,274989,475,2465,0,2887,1335492,0.00035567416352924613,0.0021617501265451234
2022-07-25,MI,2652659,0,37291,0,33126,9965265,0.0,0.0033241464225988973
2022-07-25,MN,1580508,0,13242,0,19021,5563378,0.0,0.003418965959170849
2022-07-25,MO,1551859,0,20900,0,29289,6104910,0.0,0.004797613724035244
2022-07-25,MS,869466,3426,12604,1,20580,2984418,0.0011479625173149337,0.006895816872837518
2022-07-25,MT,294340,0,3467,0,4995,1050649,0.0,0.0047542043061003245
2022-07-25,NC,2952301,0,25439,0,33133,10264876,0.0,0.0032278032389285558
2022-07-25,ND,255888,412,2304,0,3592,756717,0.0005444571748751515,0.004746820806193069
2022-07-25,NE,514065,2327,4366,3,7842,1914571,0.0012154158816779321,0.00409595674435683
2022-07-25,NH,336445,0,2618,0,2072,1348124,0.0,0.0015369506069174647
2022-07-25,NJ,2574316,1695,34222,4,51667,8878503,0.00019091056228735857,0.005819336885959266
2022-07-25,NM,586711,2307,8196,5,13372,2092454,0.0011025331978624141,0.006390582540882619
2022-07-25,NV,798140,0,11205,0,12545,2972382,0.0,0.004220520780976335
2022-07-25,NY,5778256,5220,69468,45,102714,19572319,0.00026670319444517537,0.005247921822651674
2022-07-25,OH,2918366,0,38981,0,51075,11655397,0.0,0.004382090116707307
2022-07-25,OK,1116478,3767,14555,0,23715,3932870,0.0009578246929087409,0.006029947595521845
2022-07-25,OR,845331,2979,8036,14,18731,4129803,0.0007213419138879021,0.00453556743505683
2022-07-25,PA,3072445,6991,46118,31,40895,12791530,0.0005465335264819767,0.0031970374146016935
2022-07-25,PR,837929,1482,4728,3,34422,3318447,0.00044659444613700324,0.010372924443271205
2022-07-25,RI,389211,623,3627,1,3662,1057231,0.0005892751915144372,0.0034637652509243487
2022-07-25,SC,1605165,1768,18192,0,31197,5020806,0.000352134697098434,0.006213544199875478
