submit_date,state,total_cases,new_cases,total_deaths,new_deaths,sum_cases_last_14_days,state_pop,new_cases_percent,cases_last_14_pop_percent
2022-03-17,AK,236471,0,1169,0,3309,737068,0.0,0.0044894093896356915
2022-03-17,AL,1291192,494,19038,40,5251,4876250,0.00010130735708792617,0.0010768520892078955
2022-03-17,AR,828166,457,11030,31,6449,2999370,0.00015236533005264438,0.0021501181914868788
2022-03-17,AZ,1992471,0,28547,0,11702,7050299,0.0,0.0016597877621927807
2022-03-17,CA,9040591,5342,87045,118,59314,39283497,0.000135985856859943,0.0015098961276283525
2022-03-17,CO,1330851,1506,11887,15,14401,5610349,0.00026843249858431265,0.0025668634874586233
2022-03-17,CT,731532,404,10677,0,3948,3575074,0.00011300465388968172,0.0011043128058328302
2022-03-17,DC,135681,106,1327,0,1003,692683,0.0001530281528491388,0.0014479928047894924
2022-03-17,DE,258428,81,2812,0,1217,957248,8.461757036838938e-05,0.0012713528782509862
2022-03-17,FL,5832733,1362,72592,0,18323,20901636,6.516236336715461e-05,0.0008766299441823597
2022-03-17,GA,2481419,1051,36444,77,12330,10403847,0.00010102032450111964,0.001185138535774315
2022-03-17,HI,232845,0,1356,0,1839,1422094,0.0,0.00129316346176835
2022-03-17,IA,757334,0,9349,0,2312,3139508,0.0,0.000736421120761597
2022-03-17,ID,441375,592,4834,3,10457,1717750,0.0003446368796390627,0.006087614612137971
2022-03-17,IL,3051797,1150,37438,19,15927,12770631,9.005036634446646e-05,0.0012471584215376671
2022-03-17,IN,1688240,320,23250,21,5064,6665703,4.800693940309072e-05,0.0007597098160539105
2022-03-17,KS,769046,0,8088,0,2077,2910652,0.0,0.0007135858220082648
2022-03-17,KY,1304372,1581,14516,41,10735,4449052,0.00035535660181090263,0.0024128735739658695
2022-03-17,LA,1167026,160,16981,21,2682,4664362,3.4302654896854063e-05,0.0005749982527085162
2022-03-17,MA,1685055,1019,20023,11,10278,6850553,0.0001487471157437947,0.0015003168357357428
2022-03-17,MD,1008178,430,14286,4,4270,6018848,7.144224276805129e-05,0.0007094380851618117
2022-03-17,ME,233537,584,2179,12,3264,1335492,0.0004372920242127995,0.002444043094230441
2022-03-17,MI,2376353,923,35384,31,11675,9965265,9.262172154980324e-05,0.0011715694464723217
2022-03-17,MN,1424107,424,12522,10,7092,5563378,7.621268948469797e-05,0.0012747650797770708
